sample_id,office_app,declared_purpose,macro_length_lines,module_count,comment_ratio,has_digital_signature,external_link_count,autoexec_event_count,shell_call_count,createobject_count,wscript_keyword_count,powershell_keyword_count,url_count,file_write_keyword_count,registry_keyword_count,process_keyword_count,vba_stomping_indicator,chr_function_count,string_concat_count,base64_like_string_count,hex_string_count,long_string_count,suspicious_keyword_count,entropy_score,obfuscation_score,sandbox_process_created,sandbox_network_attempt,sandbox_file_modified,sandbox_registry_modified,on_error_resume_next_count,eqv_operator_count,dead_code_loop_count,line_continuation_count,document_property_access_count,showwindow_keyword_count,dynamic_createobject_indicator,random_identifier_obfuscation_score,static_risk_score,sandbox_risk_score,final_risk_score,evidence_score,label,label_text,split,source_type,source_file,sha256,variant_intensity
MACRO_00097,Word,reporting,375,2,0.219,1,0,0,0,1,0,0,0,0,0,0,0,0,4,0,1,1,1,4.563,9.5,0,0,0,0,0,0,0,0,0,0,0,22.95,3.49,0.0,4.37,4.79,0,segura,train,synthetic_existing,outputs\macro_dataset_tfm.csv,5cb6193eb9649eedc67e99a4da567722f50bd93dc81ad5702f3f554b34619de3,
MACRO_01009,PowerPoint,reporting,681,1,0.226,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,4.51,3.2,0,0,0,0,0,0,0,2,0,0,0,4.43,0.0,0.0,5.98,1.72,0,segura,train,synthetic_existing,outputs\macro_dataset_tfm.csv,4cc5918e2849cf99f519deca678d2d52ba36b53c1588eb9e77407ce322d2daf9,
real_benign_macrosreales_04951_04951,Excel,template_automation,363,1,0.218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.81,6.67,0,0,0,0,0,0,0,0,0,0,0,19.05,3.12,0.0,2.25,3.8,0,segura,train,real_benign,real_macros\macrosreales.csv,7221e20d253eddd423fc785e52e3da8b67bd21238d49779eff4809af15ff2d1f,
MACRO_01316,PowerPoint,formatting,239,4,0.201,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4.647,4.8,0,0,0,0,0,0,0,0,0,0,0,24.54,0.0,0.0,0.0,2.53,0,segura,train,synthetic_existing,outputs\macro_dataset_tfm.csv,beca3eed58d705005a0463f156865e4023cf1bdeb28c455617e9dd35b3792e61,
MACRO_00265,Word,formatting,246,3,0.292,1,0,0,0,2,0,0,1,0,0,0,0,3,3,0,0,0,3,4.342,9.6,0,0,0,0,0,0,0,2,0,0,0,9.23,28.36,0.0,26.37,18.69,0,segura,train,synthetic_existing,outputs\macro_dataset_tfm.csv,3023e806c459f77ea34f6a848e73de86ecea2b0e57251f9938907861c448929b,
MACRO_00624,Excel,chart_generation,393,2,0.231,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,4.45,4.5,0,0,0,0,0,0,0,2,0,0,0,21.17,2.19,0.0,2.01,3.09,0,segura,train,synthetic_existing,outputs\macro_dataset_tfm.csv,fd56b056a974bc2c449eadabf05f839bc9975be682e7bab06c3748fea92f5622,
real_benign_macrosreales_08393_08393,Excel,obfuscated_loader_like,370,1,0.116,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,7,0,4.625,41.66,0,0,0,0,4,0,0,1,0,0,0,25.61,36.76,0.0,26.47,24.67,0,segura,train,real_benign,real_macros\macrosreales.csv,5b033925f925d7258b26c26364d6f93692087d8666c0bd1c87f1405b4dc74500,
MACRO_00887,PowerPoint,template_automation,258,1,0.173,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,3.554,2.4,0,0,0,0,0,0,0,2,0,0,0,15.64,2.24,0.0,0.0,2.32,0,segura,train,synthetic_existing,outputs\macro_dataset_tfm.csv,0341d2063e046762dc6b39e744e1384bb6f9d85a2b7a52e4b8a25da4e499707e,
real_benign_macrosreales_14182_14182,Word,template_automation,143,2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.254,20.86,0,0,0,0,1,0,0,0,0,0,0,51.04,22.97,0.0,16.54,16.38,0,segura,train,real_benign,real_macros\macrosreales.csv,70ecd2e436762640771513486af705159fae4e30c21d61ce2775c15e3355826c,
MACRO_00773,Word,reporting,212,2,0.196,1,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,4.663,4.8,0,0,1,0,0,0,0,0,0,0,0,0.0,7.88,12.0,3.67,4.05,0,segura,train,synthetic_existing,outputs\macro_dataset_tfm.csv,8da97562508e0fa901ce635b87b3bc95b9961aeaa473a65ad64d15bd30112f5d,
MACRO_01077,PowerPoint,chart_generation,253,3,0.162,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,3.738,5.3,0,0,0,0,0,0,0,1,1,0,0,3.29,0.0,0.0,0.0,2.11,0,segura,train,synthetic_existing,outputs\macro_dataset_tfm.csv,cbc0cd65dd6e8e691f0f695a3892fb65938c04fbb5b7fa71ae32a8c3a9584c97,
MACRO_01001,Word,template_automation,432,4,0.144,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,3.62,11.3,0,0,0,0,0,0,0,1,0,0,0,25.25,6.44,0.0,1.87,9.45,0,segura,train,synthetic_existing,outputs\macro_dataset_tfm.csv,207ac7537b6747f6a492893fb79ffdb6f6eea287aff7aa408c2f5dedc3b574f1,
MACRO_01183,Word,reporting,371,2,0.283,1,1,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,1,3.33,5.6,0,0,0,0,0,0,0,0,0,0,0,18.85,0.82,0.0,0.0,3.42,0,segura,train,synthetic_existing,outputs\macro_dataset_tfm.csv,8cb6efe7780c0451cc474587f16367cf87d6f0d1d9792dcc4c174496a349c8b1,
MACRO_00776,Word,reporting,491,1,0.187,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3.378,3.2,0,0,0,0,0,0,0,0,0,0,0,15.08,0.0,0.0,0.0,2.36,0,segura,train,synthetic_existing,outputs\macro_dataset_tfm.csv,3b5ea51b43801eb5ce1dd0b2690d2c764de406fad656d3ab4eba7b46a5bf3ed6,
MACRO_01385,PowerPoint,data_cleanup,174,3,0.046,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,1,4.764,3.6,0,0,0,0,0,0,0,2,0,0,0,16.76,12.78,0.0,4.15,6.65,0,segura,train,synthetic_existing,outputs\macro_dataset_tfm.csv,d0f5d2e79a5300582a43fd5120d6c40c7556339291cf72826fd23b3c2d0938fa,
real_benign_macrosreales_08964_08964,Excel,template_automation,363,1,0.218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.817,6.66,0,0,0,0,0,0,0,0,0,0,0,19.04,3.12,0.0,2.25,3.79,0,segura,train,real_benign,real_macros\macrosreales.csv,8bfbaa67ce0d62c4ffdec635851bac497a2d5df7aa64790f1bce64064e1535a1,
